,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
125,113,15594,Оператор заправочных станций,2 - 5
126,114,15636,Оператор копировальных и множительных машин,2 - 3
127,115,15643,Оператор котельной,2 - 6
128,116,15705,Оператор механизированных и автоматизированных складов,2 - 7
129,117,15778,Оператор осциллографирования и тензометрирования,2 - 4
130,117.1,,Оператор платформы подъемной,2 - 3
131,118,15860,Оператор по обслуживанию пылегазоулавливающих установок,2 - 4
132,119,15972,Оператор разменных автоматов,2
133,120,16020,Оператор сейсмопрогноза,4
134,121,16067,Оператор теплового пункта,2 - 4
135,121.1,,Охранник,4 - 6
136,122,16199,Оператор электронно-вычислительных и вычислительных машин,2 - 4
137,123,16271,Осмотрщик гидротехнических сооружений,3 - 4
138,124,16413,Охотник промысловый,4 - 5
139,125,16426,Парафинировщик,1 - 2
140,126,16521,Переплетчик документов,2 - 4
141,127,16523,Переработчик радиоактивных отходов,2 - 6
142,128,16608,Пирометрист,2 - 4
143,129,16771,Подсобный рабочий,1 - 2
144,130,16781,Пожарный,4 - 5
145,131,16831,Полотер,2 - 3
146,132,17244,Приемосдатчик груза и багажа,2 - 6
147,133,17248,Приемщик баллонов,2 - 3
148,134,17256,Приемщик золота стоматологических учреждений (подразделений),2 - 3
149,135,17282,Приемщик сельскохозяйственных продуктов и сырья,1 - 2
150,136,17314,Пробоотборщик,1 - 3
151,137,17328,Проводник (вожатый) служебных собак,3 - 4
152,137.1,,Промышленный альпинист,5 - 7
153,138,17436,Пропитчик по огнезащитной пропитке,2 - 4
154,139,17542,Рабочий плодоовощного хранилища,2
155,140,17543,Рабочий по благоустройству населенных пунктов,1 - 2
156,141,17544,Рабочий по комплексному обслуживанию и ремонту зданий,2 - 4
157,142,17546,Рабочий по уходу за животными,1 - 6
158,143,17547,Рабочий производственных бань,1 - 2
159,144,17553,Радиомеханик по обслуживанию и ремонту радиотелевизионной аппаратуры,3 - 6
160,145,17562,Радиомонтер приемных телевизионных антенн,2 - 6
161,146,17787,Распределитель работ,2 - 4
162,147,17840,Регенераторщик отработанного масла,1 - 3
163,148,18000,Ремонтировщик плоскостных спортивных сооружений,3 - 4
164,149,18005,Ремонтировщик респираторов и противогазов,2
165,150,18114,Сатураторщик,1
166,151,18370,Светокопировщик,1 - 2
167,152,18598,Сливщик-разливщик,2 - 4
168,153,18602,Смазчик,1 - 3
169,154,18621,Собаковод,3
170,155,18722,Составитель описи объектов населенных пунктов,2
171,156,18854,Стеклографист (ротаторщик),2
172,157,18858,Стеклопротирщик,1 - 2
173,158,18883,Сторож (вахтер),1 - 2
174,159,18885,Стрелок,2 - 4
175,160,18897,Стропальщик,2 - 6
176,161,19081,Такелажник,2 - 5
177,162,19203,Тракторист,2 - 6
178,163,19213,Транспортерщик,2 - 3
179,164,19217,Транспортировщик,2 - 4
180,165,19258,Уборщик производственных помещений,2
181,166,19258,Уборщик служебных помещений,1
182,167,19293,Укладчик-упаковщик,1 - 4
183,168,19455,Форсунщик,2
184,169,19555,Чистильщик,1 - 4
185,170,19575,Чистильщик обуви,1
186,171,19723,Штемпелевщик этикеток,1
187,172,19778,Электромеханик по лифтам,1 - 8
188,173,19821,Электромонтер диспетчерского оборудования и телеавтоматики,1 - 6
189,174,19861,Электромонтер по ремонту и обслуживанию электрооборудования,2 - 8
190,175,19954,Эмульсовар,2 - 3
191,175.1,,Испытатель протезно-ортопедических изделий,3 - 4
192,175.2,,Контролер-кассир,2 - 4
193,175.3,,Комплектовщик товаров,2
194,175.4,,Машинист грузового причала,3
195,175.5,,Помощник воспитателя,3
196,175.6,,Разведчик объектов природы,3
197,175.7,,Разрубщик мяса на рынке,3
198,175.8,,Сестра-хозяйка,2
199,175.9,,Аппаратчик химической чистки спецодежды,
200,175.10,,Бригадир на участках основного производства,
