,п\п,Код,"Наименование профессий рабочих, должностей служащих",Квалификация
1103,206,17064,Прессовщик огнеупорных изделий,2 - 7
1104,207,17465,Просевщик порошков на механических ситах,2 - 3
1105,208,17623,Развивальщик-загладчик пеномассы,2 - 3
1106,209,17882,Резчик брикета и заготовок,2
1107,210,18107,Садчик в печи и на туннельные вагоны,2 - 5
1108,211,18673,Сортировщик полуфабриката и изделий,2 - 4
1109,212,18717,Составитель массы на мешалках,1 - 3
1110,213,19058,"Съемщик-укладчик заготовок, массы и готовых изделий",2 - 3
1111,214,19416,Формовщик огнеупорных изделий,2 - 5
1112,215,19561,"Чистильщик дымоходов, боровов и топок",3 - 4
1113,215.1,,Шихтовщик-дозировщик,3
1114,216,19666,Шлифовщик-резчик огнеупорных изделий,2 - 5
1115,217,12983,Контролер лома и отходов металла,2 - 4
1116,218,13123,Копровщик по разделке лома и отходов металла,2 - 4
1117,219,15183,Обжигальщик отходов металла,3
1118,220,16619,Плавильщик вторичного олова,2 - 4
1119,221,17046,Прессовщик лома и отходов металла,1 - 5
1120,222,17616,Раздельщик лома и отходов металла,2 - 3
1121,223,18679,Сортировщик-сборщик лома и отходов металла,1 - 3
1122,224,19773,Электролизник по снятию олова с жести,2 - 5
1123,1,12138,Загрузчик шихты,3 - 5
1124,2,12163,Заливщик анодов,3 - 6
1125,3,13041,Контролер продукции цветной металлургии,3 - 6
1126,4,13711,Машинист дробильно-помольно-сортировочных механизмов,2 - 4
1127,5,14076,Машинист просеивающих установок,2
1128,6,14568,Монтажник на ремонте ванн,2 - 6
1129,7,14569,Монтажник на ремонте печей,2 - 5
1130,8,15244,Обогатитель отходов,2
1131,8.1,,Оператор щита (пульта) управления преобразовательной подстанции,3 - 5
1132,9,16613,Плавильщик,2 - 6
1133,10,17359,Прокальщик,3 - 6
1134,11,17423,Пропитчик,3 - 4
1135,12,17867,Регулировщик электродов,3 - 4
1136,13,18604,Смесильщик,3 - 5
1137,14,19497,Футеровщик-шамотчик на ремонте ванн,2 - 6
1138,15,19509,Хлоропроводчик,3 - 4
1139,16,19582,Чистильщик продукции,2 - 4
1140,17,19910,Электрослесарь-контактчик,2 - 4
1141,18,10058,Анодчик в производстве алюминия,4 - 6
1142,19,10129,Аппаратчик в производстве драгоценных металлов,3 - 6
1143,20,10131,Аппаратчик в производстве металлических порошков,2 - 5
1144,21,10133,Аппаратчик в производстве солей,5 - 6
1145,22,10137,Аппаратчик в производстве титана и редких металлов,2 - 5
1146,23,10187,Аппаратчик-гидрометаллург,2 - 6
1147,24,10265,Аппаратчик изготовления искусственного шеелита,3 - 5
1148,25,10371,Аппаратчик на плазменных установках,4 - 6
1149,26,10548,Аппаратчик получения высокочистых соединений щелочных металлов,3 - 5
1150,27,10552,Аппаратчик получения гидроокисных соединений щелочных металлов,3 - 5
1151,28,10651,Аппаратчик по разделению редкоземельных элементов,5 - 6
1152,29,10720,Аппаратчик приготовления сернокислого глинозема,2 - 3
1153,30,10731,Аппаратчик приготовления электролита,3
1154,31,11511,Выбивщик титановой губки,3 - 4
1155,32,11559,Выливщик-заливщик металла,3 - 4
1156,33,12139,Загрузчик щелочи,3
1157,34,12726,Катодчик,2 - 6
1158,35,12895,Конвертерщик,2 - 6
1159,36,12899,Конденсаторщик,4
1160,37,13410,Литейщик цветных металлов,3 - 5
1161,38,14381,Машинист штыревого крана,5
1162,39,14620,Монтажник реакционных аппаратов,3 - 6
1163,40,14940,Наладчик оборудования в производстве драгоценных металлов,4 - 5
1164,41,15271,Обработчик вторичных шламов,3
1165,42,15307,Обработчик матричных листов,2 - 3
1166,42.1,,Оператор автоматизированного процесса производства алюминия,4 - 8
1167,43,16288,Отбивщик ртути,5
1168,44,16581,Печевой в производстве цинковой пыли,3 - 5
1169,45,16583,Печевой иодиодного рафинирования,4 - 6
1170,46,16585,Печевой на вельцпечах,3 - 6
1171,47,16587,Печевой на восстановлении и дистилляции титана и редких металлов,3 - 6
1172,48,16589,Печевой на получении цинкового купороса,3 - 4
1173,49,16593,Печевой по восстановлению никелевого порошка,4 - 5
1174,50,16594,Печевой по восстановлению термическим способом,3 - 6
1175,51,16596,Печевой по переработке титаносодержащих и редкоземельных материалов,3 - 6
1176,52,16598,Печевой по производству трехокиси сурьмы,4 - 5
1177,53,16617,Плавильщик бариевого электролита,3
1178,54,16651,Плавильщик электронно-лучевой плавки,4 - 6
1179,55,17252,Приемщик драгоценных металлов и сырья,3 - 4
1180,56,17509,Пультовщик конвертера,2
1181,57,17619,Раздельщик титановой губки,3 - 5
1182,58,17625,Разливщик ртути,3
1183,59,17634,Разливщик цветных металлов и сплавов,3 - 5
1184,60,17704,Раймовщик дистилляционных печей,3 - 4
1185,61,17826,Рафинировщик ртути,3 - 4
1186,62,18027,Репульпаторщик,3
1187,63,19263,Уборщик шлака и оборотных материалов,2 - 3
1188,64,19488,Фрезеровщик слитков,2 - 3
1189,65,19505,Хлораторщик,3 - 5
1190,66,19506,Хлораторщик по приготовлению двухлористого олова,4 - 5
1191,67,19528,Цементаторщик,3 - 5
1192,68,19628,Шламовщик электролитных ванн,4
1193,69,19771,Электролизник водных растворов,2 - 5
1194,70,19774,Электролизник расплавленных солей,2 - 6
1195,71,11357,Вальцовщик холодного металла,2 - 6
1196,72,11384,Варщик литейных смазок,2 - 3
1197,73,11487,Волочильщик цветных металлов,2 - 5
1198,74,12728,Кашировальщик-красильщик фольги,3 - 5
1199,75,12891,Комплектовщик форм сусальных металлов,2 - 3
1200,76,13223,Кузнец драгоценных металлов,3 - 5
1201,77,14677,Монтировщик изделий из драгоценных металлов,3 - 6
1202,78,14856,Нагревальщик цветных металлов,2 - 5
1203,79,15669,Оператор линии по обработке цветных металлов,3 - 5
1204,80,16360,Отжигальщик цветных металлов,2 - 4
1205,81,16511,Перемотчик рулонов,2 - 3
1206,82,16536,Перфораторщик фольги,3
1207,83,16657,Плакировщик изделий,2
1208,84,17054,Прессовщик на гидропрессах,3 - 6
1209,85,17227,Приготовитель технических жиров,2
1210,86,17369,Прокатчик горячего металла,3 - 6
1211,87,17960,Резчик сусальных металлов,3
1212,88,19242,Трубопрокатчик,2 - 6
1213,89,19598,Шабровщик цветных металлов,2 - 3
1214,90,10135,Аппаратчик в производстве твердых сплавов и тугоплавких металлов,2 - 5
1215,91,10300,Аппаратчик карбидизации,3 - 6
1216,92,10373,Аппаратчик на приготовлении смесей и растворов,3 - 6
1217,93,10435,Аппаратчик окисления молибденовых отходов,4
1218,94,10513,Аппаратчик печей восстановления,3 - 5
1219,95,11112,Аппаратчик электрохимического производства тантала,3 - 5
1220,96,12066,Заготовщик химических полуфабрикатов тугоплавких металлов,2 - 4
1221,97,15333,Обработчик прутков сормайта,1
1222,98,15355,Обработчик твердосплавных изделий,2 - 3
1223,98.1,,Оператор по намагничиванию и контролю высококоэрцитивных магнитов,4 - 5
1224,99,16580,Печевой восстановления железа и отжига железных порошков,3 - 6
1225,99.1,,Прессовщик изделий из металлических порошков,3 - 5
1226,100,17117,Прессовщик твердых сплавов,3 - 5
1227,101,18218,Сборщик пакетов,2
1228,102,18333,Сварщик изделий из тугоплавких металлов,4
1229,103,18749,Спекальщик,3 - 6
1230,104,18794,Станочник на обработке твердосплавной продукции,4
1231,105,19640,Шлифовщик изделий из твердых сплавов и тугоплавких металлов,2 - 6
1232,106,12095,Загрузчик-выгрузчик обжиговых и графитировочных печей,3 - 5
1233,107,16478,Пекоплавщик,3 - 4
1234,108,17136,Прессовщик электродной продукции,3 - 6
1235,109,18594,Слесарь электродной продукции,3 - 5
1236,110,18792,Станочник на механической обработке электродной продукции,2 - 6
1237,111,18861,Стендовщик,3 - 4
1238,112,19451,Формовщик электродной массы,2 - 3
1239,113,19508,Хлораторщик электродной продукции,3 - 4
1240,114,19696,Штабелевщик электродов,2
1241,115,19760,Электродчик,2 - 4
1242,1,10641,Аппаратчик по приготовлению химреагентов,2 - 3
1243,2,11079,Аппаратчик химводоочистки электростанции,1 - 5
1244,3,13098,Контролер энергосбыта,1 - 4
1245,4,13560,Машинист береговых насосных станций,2 - 5
1246,5,Исключен. - Приказ Минобрнауки России от 16.12.2013 N 1348,Исключен. - Приказ Минобрнауки России от 16.12.2013 N 1348,Исключен. - Приказ Минобрнауки России от 16.12.2013 N 1348
1247,6,13577,Машинист блочной системы управления агрегатами (котел-турбина),5 - 8
1248,7,13658,Машинист газотурбинных установок,4 - 7
1249,8,13660,Машинист гидроагрегатов,3 - 8
1250,9,13785,Машинист котлов,3 - 7
1251,10,13929,Машинист-обходчик по котельному оборудованию,2 - 8
1252,11,13931,Машинист-обходчик по турбинному оборудованию,6 - 8
1253,12,13971,Машинист паровых турбин,3 - 6
1254,13,14098,Машинист пылевых насосов,4
1255,14,14162,Машинист рыбоподъемника,3
1256,15,14261,Машинист топливоподачи,3 - 6
1257,16,14347,Машинист центрального теплового щита управления котлами,3 - 8
1258,17,14349,Машинист центрального теплового щита управления паровыми турбинами,3 - 8
1259,18,14415,Машинист энергоблока,7 - 8
1260,19,14708,Моторист автоматизированной топливоподачи,3 - 6
1261,20,14710,Моторист багерной (шламовой) насосной,3 - 5
1262,21,14717,Моторист водосброса,2
1263,22,14728,Моторист по уборке оборудования электростанций,2
1264,23,15402,Обходчик гидросооружений,2 - 3
1265,24,15408,Обходчик трассы гидрозолоудаления и золоотвалов,2
1266,25,15562,"Оператор ""горячей"" камеры",6
1267,26,16002,Оператор реакторного отделения,6 - 8
1268,26.1,,Оператор систем радиационного и дозиметрического контроля,6
1269,26.2,,Оператор системы контроля герметичности оболочек тепловыделяющих элементов реактора,5 - 7
1270,27,16035,Оператор спецводоочистки,5 - 8
1271,28,16087,Оператор транспортно-технологического оборудования реакторного отделения,6 - 8
1272,29,16068,Оператор тепловых сетей,3
1273,30,18499,Слесарь по обслуживанию оборудования электростанций,2 - 5
1274,31,18503,Слесарь по обслуживанию тепловых пунктов,4 - 5
1275,32,18505,Слесарь по обслуживанию тепловых сетей,4 - 6
1276,33,18826,Старший машинист котельного оборудования,5 - 8
1277,34,18828,Старший машинист котлотурбинного цеха,6 - 8
1278,35,18830,Старший машинист турбинного отделения,8
1279,35.1,,Старший оператор реакторного отделения,7 - 8
1280,35.2,,Старший оператор спецводоочистки,7 - 8
1281,35.3,,Старший оператор транспортно-технологического оборудования реакторного отделения,7 - 8
1282,36,18832,Старший машинист энергоблоков,8
1283,37,19735,Шуровщик топлива,II - III (группы)
1284,38,19819,Электромонтер главного щита управления электростанции,3 - 7
1285,39,19831,Электромонтер оперативно-выездной бригады,2 - 6
1286,40,19834,Электромонтер по испытаниям и измерениям,3 - 8
1287,41,19836,Электромонтер по надзору за трассами кабельных сетей,3
1288,42,19840,Электромонтер по обслуживанию гидроагрегатов машинного зала,6
1289,43,19842,Электромонтер по обслуживанию подстанций,3 - 8
1290,44,19844,Электромонтер по обслуживанию преобразовательных устройств,5 - 7
1291,45,19848,Электромонтер по обслуживанию электрооборудования электростанций,6 - 8
1292,46,19852,Электромонтер по оперативным переключениям в распределительных сетях,3 - 7
1293,47,19867,Электромонтер по эксплуатации распределительных сетей,2 - 5
1294,48,19869,Электромонтер по эксплуатации электросчетчиков,3 - 4
1295,49,19870,Электромонтер по эскизированию трасс линий электропередачи,3
1296,50,19917,Электрослесарь по обслуживанию автоматики и средств измерений электростанций,3 - 7
1297,51,18520,Слесарь по ремонту гидротурбинного оборудования,2 - 7
1298,52,18531,Слесарь по ремонту оборудования котельных и пылеприготовительных цехов,2 - 7
1299,53,18535,Слесарь по ремонту оборудования тепловых сетей,2 - 7
1300,54,18537,Слесарь по ремонту оборудования топливоподачи,2 - 5
1301,55,18538,Слесарь по ремонту парогазотурбинного оборудования,2 - 8
1302,56,18544,Слесарь по ремонту реакторно-турбинного оборудования,2 - 8
1303,57,19854,Электромонтер по ремонту аппаратуры релейной защиты и автоматики,2 - 8
1304,58,19855,Электромонтер по ремонту воздушных линий электропередачи,2 - 7
1305,59,19857,Электромонтер по ремонту вторичной коммутации и связи,2 - 7
1306,60,19859,Электромонтер по ремонту и монтажу кабельных линий,2 - 7
1307,61,19863,Электромонтер по ремонту обмоток и изоляции электрооборудования,2 - 7
1308,62,19919,Электрослесарь по ремонту и обслуживанию автоматики и средств измерений электростанций,2 - 8
1309,63,19923,Электрослесарь по ремонту оборудования распределительных устройств,2 - 7
1310,64,19927,Электрослесарь по ремонту электрических машин,2 - 7
1311,65,19929,Электрослесарь по ремонту электрооборудования электростанций,2 - 7
1312,1,11339,Вальцовщик проволоки для спиралей,2 - 4
1313,2,11423,Весовщик-счетчик,1 - 2
1314,3,11484,Волочильщик материала для спиралей,2 - 4
1315,4,11515,Выборщик камней,3 - 4
1316,5,11989,Завивальщик спиралей,2 - 4
1317,6,12271,Зубополировщик деталей часов,2 - 4
1318,7,12275,Зубофрезеровщик деталей часов,2 - 4
1319,8,13089,Контролер часового и камневого производства,2 - 6
1320,9,13332,Лакировщик деталей часов,2 - 4
1321,10,13426,Лучевальщик,2 - 3
1322,11,14794,Наборщик деталей часов и камней,1 - 3
1323,12,14849,Навивщик пружин,2 - 3
1324,13,14915,Наладчик зубофрезерных автоматов и полуавтоматов,4 - 6
1325,14,14926,Наладчик моечных машин,4 - 5
1326,15,14932,Наладчик настольных станков и прессов,4 - 5
1327,16,14983,"Наладчик сборочных автоматов, полуавтоматов и автоматических линий",4 - 7
1328,17,16575,Печатник циферблатов,2 - 4
1329,18,16821,Полировщик технических камней,2 - 4
1330,19,17108,Прессовщик стекол,2 - 3
1331,20,17407,Промывщик камней,1 - 2
1332,21,17477,Протирщик часовых стекол,1
1333,22,17918,Резчик минералов,2 - 4
1334,23,17981,Резьбонарезчик деталей часов,2 - 3
1335,24,18077,Рисовальщик светящимися красками,2 - 3
1336,25,18260,Сборщик сборочных единиц часов,2 - 4
1337,26,18296,Сборщик часов,1 - 6
1338,27,18361,Сверловщик камней,1 - 4
1339,28,18427,Склейщик технических камней,1 - 2
1340,29,18643,Сортировщик деталей часов и камней,2 - 4
1341,30,19199,Травильщик фольги,3 - 4
1342,31,19545,Часовщик по ремонту механических часов,2 - 6
1343,32,19546,Часовщик по ремонту электронных и кварцевых часов,3 - 7
1344,33,19648,Шлифовщик камней,2 - 4
1345,34,19796,Электромонтажник блоков электронно-механических часов,3 - 5
1346,1,10025,Автоматчик игольно-платинных изделий,2 - 4
1347,2,11322,Вальцовщик игл,2 - 3
1348,3,11625,Галтовщик игольно-платинных изделий,1
1349,4,12221,Запрессовщик игл,2 - 3
1350,5,12245,Заточник игольно-платинных изделий,2 - 3
1351,6,12652,Калибровщик нитеобразователей,3 - 5
1352,7,12951,Контролер игольно-платинных изделий,2 - 5
1353,8,14797,Наборщик игольно-платинных изделий,1 - 2
1354,9,14958,Наладчик оборудования игольного производства,3 - 7
1355,10,16804,Полировщик игл,2 - 3
1356,11,17871,Редуцировщик игл,2
1357,12,18083,Рихтовщик игольно-платинных изделий,1 - 3
1358,13,18648,Сортировщик игольно-платинных изделий,1 - 3
1359,1,10036,Автоматчик ремизных автоматов,3 - 4
1360,2,12290,Изготовитель берд,2 - 5
1361,3,12382,Изготовитель оснастки для жаккардовых машин,2 - 5
1362,4,12412,Изготовитель ремиз,1 - 3
1363,5,13051,Контролер ремизобердочного производства,2 - 4
1364,6,14981,Наладчик ремизобердочного оборудования,4 - 5
1365,7,15281,Обработчик зуба берда,3 - 5
1366,8,18611,Смольщик берд,3
1367,9,18946,Сушильщик изделий,3
1368,1,12884,Комплектовщик туб,3
1369,2,13345,Лакировщик туб,3 - 4
1370,3,13813,Машинист лакировочных машин,3 - 4
1371,4,14954,Наладчик оборудования жестяно-баночного производства,3 - 6
1372,4.1,,Наладчик оборудования тубного производства,5 - 6
1373,5,15277,Обработчик заготовок для туб,3
1374,5.1,,Оператор жестяно-баночного оборудования,4 - 5
1375,6,17127,Прессовщик туб,3 - 4
1376,7,17231,Приготовитель уплотняющих растворов и паст,3 - 4
1377,8,18646,Сортировщик жести и изделий,2 - 4
1378,9,18784,Станочник оборудования жестяно-баночного производства,2 - 4
1379,10,18940,Сушильщик жести,2 - 3
1380,10.1,,Штамповщик дисков для алюминиевых туб,3
1381,1,11272,Брикетировщик,2 - 4
1382,2,11916,Дробильщик компонентов обмазки,2 - 5
1383,3,13093,Контролер электродного производства,3 - 4
1384,4,17062,Прессовщик обмазочного пресса,2 - 5
1385,5,17363,Прокальщик на печах,2 - 4
1386,6,17594,Разварщик силикатной глыбы,2 - 4
1387,7,18087,Рубщик проволоки,2 - 4
1388,8,18705,Сортировщик электродов,2 - 3
1389,9,18721,Составитель обмазки,2 - 4
1390,10,18951,Сушильщик компонентов обмазки и флюсов,2
1391,11,19001,Сушильщик электродов,1 - 2
1392,12,19304,Упаковщик электродов,2 - 3
1393,13,19366,Флюсовщик,2 - 4
1394,14,19761,Электродчик,2 - 5
1395,1,10030,Автоматчик на узловязальных и навивочных автоматах и станках,1 - 4
1396,2,11486,Волочильщик проволоки,2 - 5
1397,3,12349,Изготовитель лент и металлосеток,2 - 5
1398,4,12358,"Изготовитель металлорукавов, гибких валов и бронеспиралей",1 - 3
1399,5,12593,Испытатель металлических канатов и цепей,2 - 3
1400,6,12694,Канилировщик проволоки,3 - 4
1401,7,12712,Кардовщик,3 - 4
1402,8,14035,Машинист по навивке канатов,1 - 5
1403,9,14814,Наборщик ремиз,2
1404,9.1,,Навойщик-проборщик основы металлосеток,2 - 5
1405,10,14942,"Наладчик оборудования в производстве металлических канатов, сеток, пружин, щеток и цепей",3 - 6
1406,11,15034,Намотчик проволоки и тросов,1 - 4
1407,12,15319,Обработчик основы металлосеток,3 - 5
1408,13,17803,Растяжчик металлосеток,4 - 5
1409,13.1,,Сборщик щелевидных сит и металлических щеток,2 - 3
1410,14,19009,Сшивальщик металлосеток,3 - 4
1411,15,19036,Съемщик-раскройщик металлосеток,2 - 4
1412,16,19537,Цепеизготовитель,1 - 4
1413,1,11878,Дозировщик ртути,1 - 2
1414,2,12251,Заточник медицинского инструмента,1 - 6
1415,3,12295,Изготовитель бужей и катетеров,1 - 3
1416,3.1,,Изготовитель медицинских изделий из фторопласта,4 - 6
1417,4,12385,Изготовитель очковых оправ,1 - 4
1418,5,12408,Изготовитель пульпоэкстракторов,1 - 3
1419,6,12993,Контролер медицинского оборудования и изделий,1 - 5
1420,7,14457,Механик протезно-ортопедических изделий,4 - 8
1421,7.1,,Обшивщик медицинских изделий,5 - 6
1422,8,16253,Оптик медицинский,5 - 6
1423,9,16825,Полировщик хирургических инструментов и аппаратов,5
1424,10,18172,Сборщик инъекционных игл,1 - 3
1425,11,18216,Сборщик очков,2 - 4
1426,12,18292,Сборщик хирургических инструментов и аппаратов,5 - 6
1427,13,18294,Сборщик цельнометаллических растров,1 - 4
1428,14,18305,Сборщик шприцев,1 - 3
1429,15,18422,Склейщик-окрасчик очковых оправ из пластмасс,1 - 2
1430,16,19306,Уплотнитель припоя,2
1431,16.1,,Шорник по изготовлению и отделке протезно-ортопедических изделий,3 - 6
1432,17,19782,Электромеханик по ремонту и обслуживанию медицинских оптических приборов,2 - 6
1433,18,19784,Электромеханик по ремонту и обслуживанию медицинского оборудования,2 - 6
1434,19,19786,Электромеханик по ремонту и обслуживанию медицинского рентгеновского оборудования,3 - 6
1435,19.1,,Электромеханик по ремонту и обслуживанию наркозно-дыхательной аппаратуры,2 - 6
1436,20,19791,Электромеханик по ремонту и обслуживанию электронной медицинской аппаратуры,3 - 6
1437,1,10534,Аппаратчик по изготовлению шлифовальной шкурки,2 - 5
1438,2,11157,Бакелизаторщик,2 - 5
1439,3,11163,Балансировщик-заливщик абразивных кругов,3 - 4
1440,4,11333,Вальцовщик массы на вулканитовой связке,4
1441,5,11498,Вулканизаторщик кругов на вулканитовой связке,3 - 4
1442,6,11925,"Дробильщик шлизерна, шлифпорошков и шихтовых материалов",3 - 4
1443,7,12003,Заготовщик абразивной массы,2 - 5
1444,8,12008,"Заготовщик бакелитовой, вулканитовой и эпоксидной массы",2 - 5
1445,9,12088,Загрузчик-выгрузчик абразивных изделий в периодические обжигательные печи,2 - 4
1446,10,12121,Загрузчик печей сопротивления,3 - 4
1447,11,12123,Загрузчик-разгрузчик сушильных печей,2 - 3
1448,12,12284,Изготовитель абразивных дисков и полировальных изделий,2 - 4
1449,13,12286,Изготовитель абразивных пилок,2
1450,14,12323,Изготовитель изделий из шлифовальной шкурки,2 - 4
1451,15,12567,Испытатель абразивов,2 - 4
1452,16,12774,Классификаторщик шлифпорошков,3 - 4
1453,17,12922,Контролер абразивных материалов и изделий,2 - 5
1454,18,13087,"Контролер цехов плавки, дробления, регенерации и рассева",3 - 5
1455,19,13150,Кочегар-обжигальщик,3 - 5
1456,20,13415,Ломщик пода,3
1457,21,15115,Натяжчик сеток,2 - 3
1458,22,15151,Обдувщик абразивных изделий,2
1459,23,15153,Обезвоживатель шлифзерна и шлифпорошков,3
1460,24,15246,Обогатитель шлифзерна и шлифпорошков,2 - 4
1461,25,15942,Оператор проходных сушил,3
1462,26,16488,Перегонщик печей и трансбордерных установок,3
1463,27,16615,Плавильщик абразивных материалов,4 - 6
1464,27.1,,Плавильщик карбида кремния,4
1465,28,16701,Подборщик-учетчик абразивных изделий,2 - 4
1466,29,16740,Подинщик,4
1467,30,16917,Постановщик-выгрузчик абразивных изделий,2 - 5
1468,31,16942,Правщик абразивных кругов,2 - 4
1469,32,17154,"Приготовитель абразивных порошков, паст и мастик",2 - 4
1470,33,17361,Прокальщик зерна и шлифпорошков,3 - 4
1471,34,17586,Разборщик печей сопротивления,3 - 4
1472,35,17777,Распиловщик необожженных кругов и брусков,3
1473,36,17792,Рассевальщик шлифзерна и шлифпорошков,3 - 4
1474,37,17836,Регенераторщик абразивов,2
1475,38,17974,Резчик шлифовальной шкурки,2 - 3
1476,39,18357,Сверловщик абразивных изделий,2 - 3
1477,40,18391,Сепараторщик шлифзерна,3
1478,41,18628,Сортировщик абразивных материалов,2 - 3
1479,42,18665,Сортировщик куска на печах сопротивления,3 - 4
1480,43,18918,Сушильщик абразивных изделий,1 - 3
1481,44,18998,"Сушильщик шлифзерна, шлифпорошков и шихтовых материалов",2 - 3
1482,45,19010,Сшивальщик-проклейщик,2 - 3
1483,46,19160,Токарь по обработке абразивных изделий,2 - 6
1484,47,19375,Формовщик абразивных изделий на керамической связке,2 - 6
1485,48,19376,"Формовщик абразивных изделий на бакелитовой, вулканитовой и эпоксидной связках",2 - 8
1486,49,19557,Чистильщик абразивных изделий,2
1487,50,19620,Шихтовщик в производстве абразивов,2 - 3
1488,1,10484,Аппаратчик очистки алмазного концентрата,2 - 5
1489,2,11165,Балансировщик инструментов из алмазов и сверхтвердых материалов,3 - 6
1490,3,11910,Дробильщик алмазов и сверхтвердых материалов,3 - 4
1491,4,12584,Испытатель инструментов из алмазов и сверхтвердых материалов,3 - 5
1492,5,12771,Классификаторщик порошков из алмазов и сверхтвердых материалов,2 - 5
1493,6,12940,"Контролер в производстве алмазов, сверхтвердых материалов и изделий из них",2 - 6
1494,7,14999,Наладчик установок синтеза алмазов и сверхтвердых материалов,4 - 7
1495,8,16143,Оператор установок синтеза алмазов и сверхтвердых материалов,3 - 5
1496,9,16655,"Плакировщик алмазных порошков, кристаллов и сверхтвердых материалов",4 - 6
1497,10,16803,Полировщик волок из алмазов и сверхтвердых материалов,3 - 6
1498,11,17020,Прессовщик инструментов из алмазных порошков и сверхтвердых материалов,2 - 8
1499,12,17807,Расфасовщик алмазов и алмазных порошков,2 - 3
1500,13,17874,Резчик алмазов,3 - 4
1501,14,17992,Рекуператорщик алмазов,2 - 5
1502,15,18118,Сборщик алмазного инструмента,3 - 6
1503,16,18629,Сортировщик алмазов,4 - 5
1504,17,18742,Спекальщик инструмента из алмазов и сверхтвердых материалов,2 - 5
1505,18,19619,Шихтовщик в алмазном производстве,2 - 4
1506,19,19632,Шлифовщик алмазов и сверхтвердых материалов,3 - 6
1507,1,10053,Алюминировщик электротехнических изделий,1 - 3
1508,2,11410,"Варщик электроизоляционных лаков, смол и мастик",2 - 4
1509,3,11840,Дистиллировщик ртути,1 - 2
1510,4,12612,"Испытатель электрических машин, аппаратов и приборов",2 - 6
1511,5,13053,"Контролер сборки электрических машин, аппаратов и приборов",2 - 6
1512,6,13351,Лакировщик электроизоляционных изделий и материалов,2 - 4
1513,7,13355,Лакоразводчик,2 - 4
1514,8,14771,Набивальщик трубчатых электронагревателей,2 - 4
1515,9,14997,Наладчик ускорителей заряженных частиц,4 - 6
1516,10,16458,Паяльщик пакетов конденсаторов,1 - 4
1517,11,16707,Подгонщик шунтов,2 - 4
1518,12,17444,Пропитчик электротехнических изделий,1 - 5
1519,13,17848,Регулировщик-градуировщик электроизмерительных приборов,2 - 5
1520,14,17872,Редуцировщик трубчатых электронагревателей,3
1521,15,18220,Сборщик пакетов конденсаторов,2 - 3
1522,16,18258,Сборщик ртутных выпрямителей,1 - 4
1523,17,18264,Сборщик сердечников трансформаторов,1 - 6
1524,18,18265,Сборщик сильноточных конденсаторов,1 - 4
1525,19,18277,Сборщик токоограничивающих реакторов,2 - 4
1526,20,18279,Сборщик трансформаторов,1 - 6
1527,21,18312,Сборщик электрических машин и аппаратов,1 - 6
1528,22,18316,Сборщик электроизмерительных приборов,1 - 6
1529,23,18964,Сушильщик пакетов конденсаторов,3
1530,24,19131,Термостатчик,1 - 2
1531,25,19428,Формовщик ртутных выпрямителей,1 - 5
1532,26,19817,Электромонтажник-схемщик,1 - 6
1533,27,10992,Аппаратчик-сушильщик,2 - 4
1534,28,12501,Изготовитель электроизоляционных трубок,2 - 3
1535,29,12626,Кабестанщик,3 - 4
1536,30,12629,Каландровщик,2 - 3
1537,31,12788,Клейщик миканитов,2 - 4
1538,32,12792,Клейщик пленкоэлектрокартона,2 - 3
1539,33,12944,Контролер в производстве электроизоляционных материалов,3 - 5
1540,34,14875,Накатчик-обкатчик,2
1541,35,15058,Намотчик электроизоляционных изделий,3 - 5
1542,36,15191,Обжигальщик слюды,2 - 3
1543,37,16517,Перемотчик электроизоляционных материалов,2
1544,38,17018,Прессовщик изоляционных материалов,2 - 5
1545,39,17428,Пропитчик бумаги и тканей,3 - 4
1546,40,17844,Регенераторщик слюды,2
1547,41,18707,Сортировщик электроизоляционных материалов,1 - 2
1548,42,11854,Доводчик угольных шайб,3
1549,43,11927,Дробильщик электроугольного производства,2 - 3
1550,44,12098,Загрузчик-выгрузчик печей обжига и графитации,2 - 4
1551,45,12223,Запрессовщик фитилей,"2, 4"
1552,46,12360,Изготовитель микрофонных порошков,3
1553,47,12616,Испытатель электроугольных изделий,2 - 6
1554,48,12671,Калибровщик электроугольных изделий,1 - 3
1555,49,12911,Конопатчик электрощеточного производства,2 - 3
1556,50,14461,Мешальщик угольных масс,3 - 4
1557,51,15147,Обвязчик электроугольных изделий,2 - 3
1558,52,15199,Обжигальщик электроугольных изделий,3 - 5
1559,53,17148,Прессовщик электроугольных изделий,2 - 5
1560,54,17367,Прокальщик электроугольного производства,2 - 4
1561,55,17658,Размольщик-дозировщик угольных масс,3 - 4
1562,56,18320,Сборщик электроугольного производства,1 - 3
1563,57,18709,Сортировщик электроугольных изделий,1 - 2
1564,58,19591,Чистильщик электроугольных изделий,1 - 2
1565,59,19676,Шлифовщик электроугольных изделий,2 - 5
1566,60,10367,Аппаратчик на изготовлении микропроводов в стеклянной изоляции,3 - 4
1567,61,11129,Армировщик кабельных изделий,1 - 2
1568,62,11276,Бронеобмотчик проводов,2 - 3
1569,63,11282,Бронировщик кабелей,3 - 5
1570,64,11381,Варщик кабельной массы,3
1571,65,11497,Вулканизаторщик кабельных изделий,2 - 3
1572,66,11596,Вязальщик прутков и проволоки,1 - 2
1573,67,12361,Изготовитель мишурной нити,3
